"","effect","group","level","term","estimate","std.error","conf.low","conf.high"
"1","ran_vals","Prior Dose History","","α",-147.814720053309,49.4923319317921,-244.817908150523,-50.8115319560949
"2","ran_vals","Prior Dose History"," Az","α",270.866642264343,49.2984500883946,174.243455597444,367.489828931242
"3","ran_vals","Prior Dose History"," Az Az","α",1184.53110696024,49.9390470561886,1086.65237330786,1282.40984061262
"4","ran_vals","Prior Dose History"," Az Az Az","α",1080.40057836417,279.76911168405,532.063195476667,1628.73796125167
"5","ran_vals","Prior Dose History"," Az Az Md","α",1148.73891554252,280.129012298113,599.696140413445,1697.7816906716
"6","ran_vals","Prior Dose History"," Az Az Pf","α",1092.28641905657,85.8598431908772,924.00421868419,1260.56861942894
"7","ran_vals","Prior Dose History"," Az Pf","α",1338.42414691177,381.435087900807,590.825112186318,2086.02318163722
"8","ran_vals","Prior Dose History"," Md","α",1125.20301467091,63.3611388855794,1001.01746443573,1249.38856490608
"9","ran_vals","Prior Dose History"," Md Md","α",1209.76077797412,83.8968236935937,1045.32602511737,1374.19553083087
"10","ran_vals","Prior Dose History"," Md Pf","α",1244.401413289,318.644790772372,619.869099513851,1868.93372706415
"11","ran_vals","Prior Dose History"," Pf","α",923.372066702023,49.4839574909424,826.385292207265,1020.35884119678
"12","ran_vals","Prior Dose History"," Pf Az","α",1059.88604557032,279.69305463214,511.697731765328,1608.0743593753
"13","ran_vals","Prior Dose History"," Pf Pf","α",1337.23458483905,50.2284259106098,1238.78867905411,1435.68049062398
"14","ran_vals","Prior Dose History"," Pf Pf Pf","α",1087.62350528869,104.411145001107,882.981421501935,1292.26558907545
"15","ran_vals","Age","(0,10]","α",990.326001589155,123.614172485499,748.046675538856,1232.60532763945
"16","ran_vals","Age","(10,20]","α",1368.43419962282,50.3533087385045,1269.74352799292,1467.12487125271
"17","ran_vals","Age","(20,30]","α",1148.93256521857,50.2481157023919,1050.44806815088,1247.41706228626
"18","ran_vals","Age","(30,40]","α",1048.40402522956,49.7384725828441,950.918410321155,1145.88964013797
"19","ran_vals","Age","(40,50]","α",1017.7189199116,49.7248895774305,920.259927204606,1115.1779126186
"20","ran_vals","Age","(50,60]","α",985.38538692642,49.4425662849264,888.47973770473,1082.29103614811
"21","ran_vals","Age","(60,70]","α",925.081584015188,49.1433688691251,828.762350952736,1021.40081707764
"22","ran_vals","Age","(70,80]","α",890.610248409998,49.4941133542252,793.603568788973,987.616928031022
"23","ran_vals","Age","(80,90]","α",871.80728136504,50.4463240546236,772.934303065541,970.680259664539
"24","ran_vals","Age","(90,100]","α",809.541218231894,55.0393136416108,701.666145760533,917.416290703256
"25","ran_vals","Age","(0,10]","β",50.2328337592693,2.01469292930891,46.2841081779163,54.1815593406223
"26","ran_vals","Age","(10,20]","β",52.7317513119361,1.74093111489573,49.3195890271753,56.1439135966969
"27","ran_vals","Age","(20,30]","β",50.3834882913492,1.74917157206072,46.9551750073289,53.8118015753695
"28","ran_vals","Age","(30,40]","β",51.2114685911311,1.69540878470045,47.8885284340454,54.5344087482168
"29","ran_vals","Age","(40,50]","β",50.1678511591106,1.72651709282317,46.7839398384844,53.5517624797368
"30","ran_vals","Age","(50,60]","β",50.1273613859041,1.69600560385775,46.8032514847648,53.4514712870434
"31","ran_vals","Age","(60,70]","β",49.300720273358,1.63315173141219,46.0998016985009,52.5016388482151
"32","ran_vals","Age","(70,80]","β",49.5718662032709,1.69990886464001,46.2401060515761,52.9036263549657
"33","ran_vals","Age","(80,90]","β",49.3623971217608,1.82955453199193,45.7765361313045,52.948258112217
"34","ran_vals","Age","(90,100]","β",49.8611356595259,1.95422310135813,46.0309287631078,53.691342555944
"35","ran_vals","Number of Risk Groups","0","α",1010.03834090654,11.8538955281904,986.805132594783,1033.27154921829
"36","ran_vals","Number of Risk Groups","1","α",1011.35206949468,12.2275658406792,987.386480828358,1035.31765816101
"37","ran_vals","Number of Risk Groups","2","α",1013.33563101878,13.1182176865825,987.624396811726,1039.04686522584
"38","ran_vals","Number of Risk Groups","3","α",996.084845963545,13.9941299592896,968.656855248365,1023.51283667873
"39","ran_vals","Number of Risk Groups","4","α",998.82751972302,14.5237025046768,970.36158589168,1027.29345355436
"40","ran_vals","Number of Risk Groups","5+","α",1004.07348183605,14.6972830024078,975.267336480737,1032.87962719136
"41","ran_vals","Number of Risk Groups","0","β",56.7379307552234,2.5922205791718,51.6572717800631,61.8185897303837
"42","ran_vals","Number of Risk Groups","1","β",54.0915095173577,2.65079271863142,48.8960512583591,59.2869677763563
"43","ran_vals","Number of Risk Groups","2","β",51.3539318970828,2.80264364836692,45.8608512847837,56.8470125093819
"44","ran_vals","Number of Risk Groups","3","β",49.5918339823163,3.03924863333116,43.6350161209247,55.548651843708
"45","ran_vals","Number of Risk Groups","4","β",43.6398958351319,3.40233438918766,36.971442968962,50.3083487013017
"46","ran_vals","Number of Risk Groups","5+","β",46.3553748087721,3.64533616379867,39.2106472161853,53.5001024013589
"47","ran_vals","Vaccine Product","Az","β",34.6570158720924,3.21021372512171,28.3651125881777,40.9489191560071
"48","ran_vals","Vaccine Product","Md","β",59.6749794720511,4.18091063929415,51.4805451964542,67.869413747648
"49","ran_vals","Vaccine Product","Pf","β",56.2362518160186,2.80885204574499,50.7310029684568,61.7415006635804
